voucher_code,total_stock,display_date_from,display_date_to,claimed,redeemed,claim_rate,redeem_rate,discount_type
MAA_TORANO_24102023_SF4113,200.0,2023-10-27 10:00:00,2024-06-30 21:00:00,51.0,1.0,0.255,0.005,Discount Fixed Amount (For Total Bill)
MAA_TORANO_24102023_SF4114,200.0,2023-10-27 10:00:00,2024-06-30 21:00:00,56.0,1.0,0.28,0.005,Discount Fixed Amount (For Total Bill)
MAA_SUACHUATRANCHAUHALONG_20012024_SF4497,7948.0,2024-01-20 10:00:00,2024-06-30 23:59:00,1950.0,37.0,0.24534474081529944,0.004655259184700554,Buy 2 get 1
MA_SWAROVSKI_20012024_SF4509,900.0,2024-01-20 10:00:00,2024-06-30 23:59:00,66.0,4.0,0.07333333333333333,0.0044444444444444444,Discount Fixed Amount (For SKU)
MAA_YENSPA_01112023_SF4137,500.0,2023-10-31 10:00:00,2024-01-31 23:59:00,9.0,2.0,0.018,0.004,Discount Fixed Amount (For SKU)
MA_AMAREWELLNESSCENTER_01122023_SF4285,500.0,2023-12-12 10:00:00,2024-01-31 23:59:00,27.0,2.0,0.054,0.004,Discount Percentage (For SKU)
MAA_HOMBEAUTY_24012024_SF4563,500.0,2024-01-30 10:00:00,2024-03-31 23:59:00,26.0,2.0,0.052,0.004,Discount Fixed Amount (For SKU)
MAA_ELSASPEAK_24102023_SF4121,500.0,2023-10-31 10:00:00,2024-01-31 23:59:00,27.0,2.0,0.054,0.004,Discount Fixed Amount (For SKU)
MA_HATHORBEAUTYSPA_26052023_SF3335,1000.0,2023-05-26 10:00:00,2024-04-01 23:59:00,49.0,4.0,0.049,0.004,Discount Fixed Amount (For SKU)
MAA_ANMIENSPA_24012024_SF4567,500.0,2024-01-30 10:00:00,2024-03-31 23:59:00,32.0,2.0,0.064,0.004,Discount Fixed Amount (For SKU)
MA_ELITEFITNESS_21042023_SF3220,6000.0,2023-04-21 10:00:00,2024-12-31 21:00:00,86.0,22.0,0.014333333333333333,0.0036666666666666666,Free SKU
xXC3713,119079.0,2020-09-12 14:38:00,2024-12-31 23:59:00,386.0,400.0,0.0032415455285986616,0.003359114537407939,Cash Voucher
MA_ESTEELAUDER_20012024_SF4512,900.0,2024-01-20 10:00:00,2024-06-30 23:59:00,42.0,3.0,0.04666666666666667,0.0033333333333333335,Discount Fixed Amount (For SKU)
MAA_EMMIEBYHAPPYSKIN_25122023_SF4371,330.0,2023-12-27 10:00:00,2024-03-25 23:59:00,8.0,1.0,0.024242424242424242,0.0030303030303030303,Discount Fixed Amount (For Total Bill)
MAA_DECATHLON_10112023_SF4195,1000.0,2023-11-21 10:00:00,2024-01-01 23:59:00,13.0,3.0,0.013,0.003,Discount Fixed Amount (For Total Bill)
MAA_COOLMATE_110122024_giam15,9960.0,2023-11-30 10:00:00,2024-04-30 23:59:00,150.0,28.0,0.015060240963855422,0.002811244979919679,Discount Percentage (For Total Bill)
MA_DAIRYQUEEN_05012024_SF4483,1500.0,2024-01-19 10:00:00,2024-04-15 23:59:00,146.0,4.0,0.09733333333333333,0.0026666666666666666,Discount Percentage (For SKU)
MA_ELITEFITNESS_21042023_SF3219,1500.0,2023-04-21 10:00:00,2024-12-31 21:00:00,6.0,4.0,0.004,0.0026666666666666666,Discount Percentage (For SKU)
MA_MYKINGDOM_05022024_SF4614,3000.0,2024-02-05 00:00:00,2024-02-29 21:00:00,71.0,7.0,0.023666666666666666,0.0023333333333333335,Discount Fixed Amount (For Total Bill)
MICHAELKORS_20012024_SF4472,900.0,2024-01-20 10:00:00,2024-06-30 23:59:00,41.0,2.0,0.04555555555555556,0.0022222222222222222,Discount Fixed Amount (For Total Bill)
MAA_DLYNKCLINIC_24012024_SF4565,500.0,2024-01-30 10:00:00,2024-03-31 23:59:00,7.0,1.0,0.014,0.002,Discount Fixed Amount (For SKU)
MAA_YENTRANGBEAUTY_24012024_SF4577,500.0,2024-01-30 10:00:00,2024-03-31 23:59:00,16.0,1.0,0.032,0.002,Discount Percentage (For SKU)
MAA_ANSSPA_24012024_SF4572,500.0,2024-01-30 10:00:00,2024-03-31 23:59:00,4.0,1.0,0.008,0.002,Discount Fixed Amount (For SKU)
MAA_HAPPYSKINBEAUTYCLINIC_25122023_SF4401,500.0,2023-12-27 10:00:00,2024-02-28 23:59:00,23.0,1.0,0.046,0.002,Discount Percentage (For SKU)
MA_HISPA_19122023_SF4368,500.0,2023-12-27 10:00:00,2024-03-31 23:59:00,7.0,1.0,0.014,0.002,Discount Percentage (For SKU)
MA_SALADIN_28122023_SF4378,500.0,2023-12-28 00:00:00,2024-02-29 00:00:00,16.0,1.0,0.032,0.002,Discount Fixed Amount (For SKU)
MA_CALIFORNIAFITNESS_05082022_SF1680,43019.0,2022-08-05 10:00:00,2024-07-31 23:59:00,512.0,84.0,0.011901717845603106,0.0019526255840442595,Free SKU
xXC3755,100285.0,2020-09-12 14:45:00,2024-12-31 23:59:00,163.0,163.0,0.0016253677020491599,0.0016253677020491599,Cash Voucher
MA_TMVNGOCDUNG_12102023_SF3958,700.0,2023-10-11 10:00:00,2024-01-01 23:59:00,3.0,1.0,0.004285714285714286,0.0014285714285714286,Free SKU
MA_SWENSENSCAKE_04012024_SF4482,1500.0,2024-01-19 10:00:00,2024-04-15 23:59:00,23.0,2.0,0.015333333333333332,0.0013333333333333333,Discount Fixed Amount (For SKU)
MAP_CITiGYM_27062023_SF3464,9699.0,2023-06-27 10:00:00,2024-06-30 23:59:00,73.0,12.0,0.007526549128776163,0.0012372409526755336,Free SKU
xXC3767,100018.0,2020-09-14 11:40:00,2024-12-31 23:59:00,123.0,120.0,0.001229778639844828,0.0011997840388730029,Cash Voucher
MA_YSL_20012024_SF4508,900.0,2024-01-20 10:00:00,2024-06-30 23:59:00,22.0,1.0,0.024444444444444446,0.0011111111111111111,Discount Fixed Amount (For Total Bill)
MA_COACH_20012024_SF4514,900.0,2024-01-20 10:00:00,2024-06-30 23:59:00,23.0,1.0,0.025555555555555557,0.0011111111111111111,Discount Fixed Amount (For SKU)
MA_LACOSTE_20012024_SF4502,900.0,2024-01-20 10:00:00,2024-06-30 23:59:00,24.0,1.0,0.02666666666666667,0.0011111111111111111,Discount Fixed Amount (For SKU)
MA_KACHI_18102023_SF4032,1000.0,2023-10-24 10:00:00,2024-01-01 23:59:00,3.0,1.0,0.003,0.001,Discount Percentage (For SKU)
BAMBOO1000,1000.0,2022-10-05 00:00:00,2024-04-15 23:00:00,1.0,1.0,0.001,0.001,Cash Voucher
xXC3743,1000147.0,2020-09-12 14:43:00,2024-12-31 23:59:00,684.0,664.0,0.0006838994667783836,0.0006639024063462671,Cash Voucher
xXC4711,21742.0,2020-11-20 15:15:00,2024-12-31 23:59:00,0.0,14.0,0.0,0.000643915003219575,Others
MAA_AROMA_20012024_SF4489,1790.0,2024-01-20 10:00:00,2024-03-31 23:59:00,11.0,1.0,0.006145251396648044,0.0005586592178770949,Discount Percentage (For SKU)
xXC4866,6429.0,2020-11-17 18:35:00,2026-11-18 23:59:00,0.0,3.0,0.0,0.0004666355576294914,Others
xXC3716,132267.0,2020-09-12 14:41:00,2024-12-31 23:59:00,0.0,58.0,0.0,0.00043850695940786437,Cash Voucher
MA_HATHORBEAUTYSPA_12102023_SF3969,11000.0,2023-10-11 10:00:00,2024-12-31 21:00:00,36.0,4.0,0.0032727272727272726,0.0003636363636363636,Discount Fixed Amount (For SKU)
xXC4860,24932.0,2020-11-20 15:14:00,2025-12-31 23:59:00,0.0,9.0,0.0,0.0003609818706882721,Cash Voucher
xXC3740,1000569.0,2020-09-12 14:42:00,2024-12-31 23:59:00,371.0,354.0,0.00037078902104702426,0.0003537986885462172,Cash Voucher
MA_HYPOXI_01122023_SF4267,3000.0,2023-12-01 00:00:00,2024-12-31 23:59:00,49.0,1.0,0.01633333333333333,0.0003333333333333333,Free SKU
xXC3741,999934.0,2020-09-12 14:42:00,2024-12-31 23:59:00,223.0,224.0,0.00022301471897145212,0.0002240147849758084,Cash Voucher
MA_WINSMILE_12102023_SF3971,11000.0,2023-10-11 10:00:00,2024-04-01 23:59:00,36.0,2.0,0.0032727272727272726,0.0001818181818181818,Discount Fixed Amount (For SKU)
MA_WINSMILE_12102023_SF3970,11000.0,2023-10-11 10:00:00,2024-04-01 23:59:00,41.0,1.0,0.003727272727272727,9.09090909090909e-05,Discount Percentage (For SKU)
